task_id:Key,name:String,description:String,project_id:Normal,task_type_id:Normal,task_folder_id:Normal,task_status_id:Normal,requirement_id:Normal,risk_id:Normal,release_id:Normal,creator_id:Normal,owner_id:Normal,task_priority_id:Normal,creation_date:Normal,last_update_date:Normal,concurrency_date:Normal,start_date:Normal,end_date:Normal,completion_percent:Normal,estimated_effort:Normal,actual_effort:Normal,projected_effort:Normal,remaining_effort:Normal,is_attachments:Normal
32,Update author update/insert queries to include contact info,NULL,1,1,3,1,17,NULL,NULL,3,NULL,2,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,0
33,Develop author-subject association screen,NULL,1,1,2,3,18,NULL,18,3,2,2,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 5, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 0, SYSUTCDATETIME())","DATEADD(day, 5, SYSUTCDATETIME())",100,480,430,430,0,0
34,Create author-subject mapping insert method,NULL,1,1,3,3,18,NULL,18,3,2,2,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 7, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 2, SYSUTCDATETIME())","DATEADD(day, 7, SYSUTCDATETIME())",100,300,320,320,0,0
35,Create author-subject mapping delete method,NULL,1,1,3,3,18,NULL,18,3,2,2,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 11, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 4, SYSUTCDATETIME())","DATEADD(day, 11, SYSUTCDATETIME())",100,180,160,160,0,0
36,Create author-subject mapping queries,NULL,1,1,3,3,18,NULL,18,3,2,2,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 9, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 7, SYSUTCDATETIME())","DATEADD(day, 9, SYSUTCDATETIME())",100,120,150,150,0,0
37,Develop new subject entry screen,NULL,1,1,2,1,20,NULL,19,3,3,3,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 6, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 4, SYSUTCDATETIME())","DATEADD(day, 6, SYSUTCDATETIME())",0,420,NULL,420,420,0
38,Create subject object insert method,NULL,1,1,3,1,20,NULL,19,3,3,3,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 7, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 5, SYSUTCDATETIME())","DATEADD(day, 7, SYSUTCDATETIME())",0,300,NULL,300,300,0
39,Write subject object insert queries,NULL,1,1,3,1,20,NULL,19,3,3,3,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 7, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 6, SYSUTCDATETIME())","DATEADD(day, 7, SYSUTCDATETIME())",0,180,NULL,180,180,0
40,Develop edit subject details screen,NULL,1,1,2,1,21,NULL,19,3,2,3,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 4, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 1, SYSUTCDATETIME())","DATEADD(day, 4, SYSUTCDATETIME())",0,420,NULL,420,420,0
41,Create subject object update method,NULL,1,1,3,1,21,NULL,19,3,2,3,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 6, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 3, SYSUTCDATETIME())","DATEADD(day, 6, SYSUTCDATETIME())",0,300,NULL,300,300,0
42,Write subject object update queries,NULL,1,1,3,1,21,NULL,19,3,2,3,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 6, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, 3, SYSUTCDATETIME())","DATEADD(day, 6, SYSUTCDATETIME())",0,180,NULL,180,180,0
43,Make sure that testing environment ready,NULL,1,4,NULL,1,NULL,NULL,NULL,3,3,4,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -5, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -10, SYSUTCDATETIME())","DATEADD(day, -5, SYSUTCDATETIME())",0,180,NULL,180,180,0
44,Schedule meeting with customer to discuss scope,NULL,1,3,4,1,NULL,1,4,2,2,1,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,0
45,Meet with resource manager to see if we have available resources,NULL,1,3,4,1,NULL,1,4,2,3,2,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,0
46,Meet with customer to verify release date,NULL,1,3,4,1,NULL,1,4,2,3,1,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,0
47,Plan marketing efforts for initial product release,NULL,1,3,4,1,NULL,2,1,2,2,2,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,0
48,Contact marketing data providers to get database of authors,NULL,1,3,4,1,NULL,2,1,2,3,3,"DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())","DATEADD(day, -120, SYSUTCDATETIME())",NULL,NULL,0,NULL,NULL,NULL,NULL,0
